year,address,lat,lng,workers
2015,"Delta, OH 43515, USA",41.573663,-84.0052235,28
2015,"Fremont, OH 43420, USA",41.3503303,-83.12186340000002,24
2015,"Grover Hill, OH, United States",41.0187110900879,-84.4765396118164,24
2015,"Hartville, OH 44632, USA",40.9636685,-81.33121949999997,28
2015,"Hicksville, OH 43526, USA",41.293106,-84.7619032,24
2015,"Hilliard, OH, USA",40.0333961,-83.15824509999999,4
2015,"Huron, OH, United States",41.3909111022949,-82.5583877563477,32
2015,"Lima, OH, United States",40.7426910400391,-84.107292175293,8
2015,"London, OH 43140, USA",39.8864493,-83.44825290000001,2
2015,"Loudonville, OH, United States",40.63547897338871,-82.23011779785159,3
2015,"Lowell, OH 45744, USA",39.5297958,-81.50623490000002,28
2015,"Madison, OH 44057, USA",41.7711633,-81.049819,25
2015,"Mantua, OH, United States",41.283729553222706,-81.2239990234375,4
2015,"Mark Center, OH, United States",41.2890586853027,-84.6307907104492,48
2015,"Mason, OH, United States",39.356971740722706,-84.29762268066409,6
2015,"New Carlisle, OH 45344, USA",39.9361699,-84.0254913,82
2015,"Oakwood, OH 44146, USA",41.3653325,-81.50789590000002,174
2015,"Otway, OH 45657, USA",38.866462,-83.1874041,2
2015,"Painesville, OH 44077, USA",41.7244885,-81.245657,26
2015,"Pemberville, OH 43450, USA",41.4108855,-83.46104,3
2015,"Perry, OH 44081, USA",41.7603259,-81.14093220000002,14
2015,"Richwood, OH, United States",40.4266395568848,-83.29591369628909,8
2015,"Ripley, OH, United States",38.7412109375,-83.842643737793,6
2015,"Russellville, OH 45168, USA",38.8664589,-83.7868687,5
2015,"Sabina, OH 45169, USA",39.4886732,-83.6368659,2
2015,"South Bloomfield, OH 43103, USA",39.71839620000001,-82.98684890000001,7
2015,"Tiffin, OH 44883, USA",41.1144992,-83.1779746,43
2015,"Valley City, OH, United States",41.23765182495121,-81.929817199707,7
2015,"Washington Court House, OH, United States",39.5353507995605,-83.4404678344727,20
2016,"Akron, OH, USA",41.08144470000001,-81.51900529999998,3
2016,"Avon, OH, USA",41.4517093,-82.0354225,290
2016,"Chagrin Falls, OH 44022, USA",41.4298516,-81.3910999,3
2016,"Chardon, OH 44024, USA",41.5786639,-81.2133262,6
2016,"Chesterland, OH 44026, USA",41.5222735,-81.33788740000001,15
2016,"Circleville, OH 43113, USA",39.600618,-82.94601329999998,31
2016,"Coldwater, OH 45828, USA",40.4797688,-84.628291,8
2016,"Dalton, OH 44618, USA",40.7989449,-81.6954067,2
2016,"Delta, OH 43515, USA",41.573663,-84.0052235,72
2016,"Fostoria, OH 44830, USA",41.156998,-83.4168702,135
2016,"Fremont, OH 43420, USA",41.3503303,-83.12186340000002,32
2016,"Hartville, OH 44632, USA",40.9636685,-81.33121949999997,33
2016,"Hilliard, OH, USA",40.0333961,-83.15824509999999,4
2016,"Hillsboro, OH 45133, USA",39.2022866,-83.611587,4
2016,"Huron, OH, United States",41.3909111022949,-82.5583877563477,32
2016,"La Rue, OH 43332, USA",40.5764456,-83.38464420000003,47
2016,"Lima, OH, United States",40.7426910400391,-84.107292175293,4
2016,"London, OH 43140, USA",39.8864493,-83.44825290000001,2
2016,"Loudonville, OH, United States",40.63547897338871,-82.23011779785159,3
2016,"Lowell, OH 45744, USA",39.5297958,-81.50623490000002,39
2016,"Madison, OH 44057, USA",41.7711633,-81.049819,32
2016,"Mantua, OH, United States",41.283729553222706,-81.2239990234375,4
2016,"Mason, OH, United States",39.356971740722706,-84.29762268066409,14
2016,"New Carlisle, OH 45344, USA",39.9361699,-84.0254913,43
2016,"New Carlisle, OH, United States",39.936550140380895,-84.02503967285159,39
2016,"Otway, OH 45657, USA",38.866462,-83.1874041,7
2016,"Painesville, OH 44077, USA",41.7244885,-81.245657,28
2016,"Pandora, OH, United States",40.9491081237793,-83.96141052246091,11
2016,"Pemberville, OH 43450, USA",41.4108855,-83.46104,4
2016,"Perry, OH 44081, USA",41.7603259,-81.14093220000002,211
2016,"Richwood, OH, United States",40.4266395568848,-83.29591369628909,9
2016,"Ripley, OH, United States",38.7412109375,-83.842643737793,6
2016,"Russellville, OH 45168, USA",38.8664589,-83.7868687,5
2016,"Sabina, OH 45169, USA",39.4886732,-83.6368659,2
2016,"South Bloomfield, OH 43103, USA",39.71839620000001,-82.98684890000001,8
2016,"South Solon, OH 43153, USA",39.7378378,-83.61325490000002,10
2016,"Tiffin, OH 44883, USA",41.1144992,-83.1779746,46
2016,"Valley City, OH, United States",41.23765182495121,-81.929817199707,10
2016,"Wapakoneta, OH, United States",40.567878723144496,-84.1945266723633,46
2016,"Washington Court House, OH 43160, USA",39.5364511,-83.4390843,6
2016,"Williamsport, OH 43164, USA",39.5858953,-83.1204647,48
2017,"Akron, OH, USA",41.08144470000001,-81.51900529999998,3
2017,"Avon, OH, USA",41.4517093,-82.0354225,85
2017,"Bloomdale, OH 44817, USA",41.1725529,-83.5563186,98
2017,"Chagrin Falls, OH 44022, USA",41.4298516,-81.3910999,4
2017,"Chardon, OH 44024, USA",41.5786639,-81.2133262,6
2017,"Chesterland, OH 44026, USA",41.5222735,-81.33788740000001,17
2017,"Circleville, OH 43113, USA",39.600618,-82.94601329999998,53
2017,"Dalton, OH 44618, USA",40.7989449,-81.6954067,2
2017,"Delta, OH 43515, USA",41.573663,-84.0052235,78
2017,"Fremont, OH 43420, USA",41.3503303,-83.12186340000002,37
2017,"Hartville, OH 44632, USA",40.9636685,-81.33121949999997,53
2017,"Hillsboro, OH 45133, USA",39.2022866,-83.611587,8
2017,"Huron, OH, United States",41.3909111022949,-82.5583877563477,146
2017,"London, OH 43140, USA",39.8864493,-83.44825290000001,4
2017,"Loudonville, OH, United States",40.63547897338871,-82.23011779785159,4
2017,"Lowell, OH 45744, USA",39.5297958,-81.50623490000002,40
2017,"Madison, OH 44057, USA",41.7711633,-81.049819,34
2017,"Mantua, OH, United States",41.283729553222706,-81.2239990234375,4
2017,"Marysville, OH, United States",40.235298156738295,-83.3664169311523,16
2017,"Mason, OH, United States",39.356971740722706,-84.29762268066409,16
2017,"Medina, OH, United States",41.1403198242188,-81.8640213012695,2
2017,"New Albany, OH, USA",40.0811745,-82.8087864,4
2017,"New Carlisle, OH 45344, USA",39.9361699,-84.0254913,89
2017,"Otway, OH 45657, USA",38.866462,-83.1874041,6
2017,"Painesville, OH 44077, USA",41.7244885,-81.245657,28
2017,"Pandora, OH, United States",40.9491081237793,-83.96141052246091,27
2017,"Pemberville, OH 43450, USA",41.4108855,-83.46104,5
2017,"Perry, OH 44081, USA",41.7603259,-81.14093220000002,230
2017,"Richwood, OH, United States",40.4266395568848,-83.29591369628909,10
